@relation FootballPlayers

@attribute "Age_Group" { "Peak" , "Talent" , "Veteran" , "Emerging" } 
@attribute "Position" { "AM" , "CF" , "M" , "CB" , "FB" } 
@attribute "comp_name" { "Serie A" , "1.Bundesliga" , "Ligue 1" , "2.Bundesliga" , "Jupiler Pro League" , "Eredivisie" , "La Liga" , "Tippeligaen" , "Segunda Divisi" , "Bundesliga" , "Ligue 2" } 
@attribute "nation" { "Italy" , "Germany" , "France" , "Belgium" , "Netherlands" , "Spain" , "Norway" , "Austria" } 
@attribute "Passes_p90" numeric
@attribute "Passing_Accuracy" numeric
@attribute "Ball_Retention" numeric
@attribute "Passes_Final_Third_p90" numeric
@attribute "Passes_Final_Third_Accuracy" numeric
@attribute "Passes_Forward_p90" numeric
@attribute "Pass_Forward_Success" numeric
@attribute "Opposition_Half_Entries_p90" numeric
@attribute "Opposition_Half_Entries_Accuracy" numeric
@attribute "Final_Third_Entries_p90" numeric
@attribute "Final_Third_Entries_Accuracy" numeric
@attribute "Penalty_Area_Entries_p90" numeric
@attribute "Long_Passes_p90" numeric
@attribute "Long_Balls_Retained_Final_Third_p90" numeric
@attribute "Long_Balls_Receiver_Final_Third_p90" numeric
@attribute "Long_Ball_Retention" numeric
@attribute "Successful_Layoffs_p90" numeric
@attribute "Tackles_p90" numeric
@attribute "Tackles_Att_Third_p90" numeric
@attribute "Tackles_Channels_p90" numeric
@attribute "Interceptions_p90" numeric
@attribute "Int_Att_Third_p90" numeric
@attribute "Int_Channels_p90" numeric
@attribute "Recoveries_p90" numeric
@attribute "Recoveries_Att_third_p90" numeric
@attribute "Recoveries_Channels_p90" numeric
@attribute "Blocks_p90" numeric
@attribute "Def_Ground_Duels_Won_Perc" numeric
@attribute "Def_Aerial_Duels_Won_p90" numeric
@attribute "Def_Aerial_Duels_Won_Perc" numeric
@attribute "Headed_Clearances_p90" numeric
@attribute "First_Def_Contact_p90" numeric
@attribute "Att_Aerial_Duels_Won_p90" numeric
@attribute "Att_Aerial_Duels_Won_Perc" numeric
@attribute "First_Att_Contact_p90" numeric
@attribute "Headed_Shots_on_Target_p90" numeric
@attribute "Dribbles_Completed_p90" numeric
@attribute "Dribbles_Final_Third_p90" numeric
@attribute "Att_Ground_Duels_Won_Perc" numeric
@attribute "Crosses_p90" numeric
@attribute "Succ_Crosses_p90" numeric
@attribute "Key_Passes_p90" numeric
@attribute "Assists_p90" numeric
@attribute "Chances_Created_p90" numeric
@attribute "ExpA_p90" numeric
@attribute "Shots_p90" numeric
@attribute "Shooting_Accuracy" numeric
@attribute "Balls_Received_in_Channel_p90" numeric
@attribute "Balls_Received_in_Area_p90" numeric
@attribute "Balls_Received_in_Final_Third_p90" numeric
@attribute "Goals_p90" numeric
@attribute "ExpG_p90" numeric
@attribute "ExpG_Ratio" numeric
@attribute "Conversion_Rate" numeric
@attribute "Chance_Conversion" numeric
@attribute "Usage_perc" numeric
@attribute target { 0 , 1 } 


@data
"Peak" , "AM" , "Ligue 1" , "France" , 33.5794 , 0.7263 , 0.6189 , 14.0142 , 0.5909 , 10.1921 , 0.5267875 , 0.728008088978766 , 0.333333333333333 , 1.91102123356926 , 0.567567567567568 , 2.73003033367037 , 0.455 , 1.45601617795753 , 2.00202224469161 , 0.727272727272727 , 2.002 , 0.273 , 0 , 0.182002022244692 , 0.455 , 0.0910010111223458 , 0.182002022244692 , 4.186 , 0.637007077856421 , 0.819009100101112 , 0 , 0.2143 , 0.273 , 0.6 , 0 , 0 , 0 , 0 , 0 , 0 , 1.638 , 1.09201213346815 , 0.3214 , 4.9141 , 0.546 , 2.002 , 0.273 , 0.637 , 0.289151750402904 , 2.366 , 0.3462 , 21.2032355915066 , 2.63902932254803 , 18.2912032355915 , 0.364 , 0.404507929191069 , 0.899868749711074 , 0.1538 , 0.2857 , 0.4995 , 1 
"Talent" , "M" , "Eredivisie" , "Netherlands" , 45.7576 , 0.7947 , 0.7013 , 16.5657 , 0.6646 , 19.798 , 0.6122561224 , 6.56565656565657 , 0.643564356435644 , 5.85858585858586 , 0.617021276595745 , 2.62626262626263 , 3.4343 , 0 , 0 , 0.572175188548516 , 1.1111 , 2.9293 , 0.303030303030303 , 0.707070707070707 , 1.6162 , 0.101010101010101 , 0.808080808080808 , 6.8687 , 0.303030303030303 , 1.41414141414141 , 0.303 , 0.7838 , 0.202 , 0.2857 , 0.202 , 0.101010101010101 , 0 , 0 , 0 , 0 , 1.0101 , 0.303030303030303 , 0.625 , 0.6061 , 0.101 , 1.6162 , 0.202 , 0.5051 , 0.251683630632736 , 0.9091 , 0.4444 , 4.24242424242424 , 0.202020202020202 , 6.26262626262626 , 0.202 , 0.0734802963198387 , 2.74931120501836 , 0.2222 , 0.467681081081081 , 0.55 , 0 
"Peak" , "AM" , "La Liga" , "Spain" , 31.436 , 0.6741 , 0.4693 , 13.0401 , 0.5089 , 9.5472 , 0.4390231707 , 1.28072445019405 , 0.407407407407407 , 1.63001293661061 , 0.466666666666667 , 1.86287192755498 , 1.0479 , 0.93143596377749 , 1.04786545924968 , 0.888888888888889 , 1.3972 , 1.8629 , 0.349288486416559 , 1.04786545924968 , 0.815 , 0 , 0.349288486416559 , 6.8693 , 0.582147477360931 , 2.32858990944373 , 0 , 0.8889 , 0.5821 , 0.4545 , 0 , 0.116429495472186 , 1.2807 , 0.3438 , 1.04786545924968 , 0 , 1.3972 , 0.815006468305304 , 0.2353 , 5.0065 , 0.815 , 1.5136 , 0.2329 , 0.2329 , 0.18641188501417 , 1.7464 , 0.5333 , 12.6908150064683 , 1.63001293661061 , 12.9236739974127 , 0.2329 , 0.171985795320459 , 1.35394315856429 , 0.1333 , 1 , 0.452 , 1 
"Talent" , "CB" , "La Liga" , "Spain" , 35.6031 , 0.7738 , 0.7154 , 3.3852 , 0.2069 , 14.1245 , 0.4958545455 , 1.98443579766537 , 0.53125 , 0.350194552529183 , 0.166666666666667 , 0 , 3.3852 , 0.350194552529183 , 0.583657587548638 , 0.6 , 0.1167 , 1.5175 , 0.116731517509728 , 0.466926070038911 , 3.035 , 0 , 0.933852140077821 , 3.5019 , 0 , 1.284046692607 , 0.4669 , 0.7647 , 1.5175 , 0.65 , 2.4514 , 2.68482490272374 , 0.3502 , 0.3333 , 1.16731517509728 , 0.1167 , 0.2335 , 0 , 0.6667 , 0.1167 , 0 , 0 , 0 , 0 , 0 , 0.8171 , 0.1429 , 1.05058365758755 , 0.933852140077821 , 2.33463035019455 , 0.1167 , 0.043801053874044 , 2.6650390158512 , 0.1429 , 0.281610344827586 , 0.3894 , 0 
"Peak" , "AM" , "Eredivisie" , "Netherlands" , 31.05 , 0.8225 , 0.6621 , 19.0125 , 0.787 , 4.275 , 0.5526315789 , 0.3375 , 0.6 , 0.9 , 0.8 , 3.0375 , 0.3375 , 1.35 , 2.475 , 0.545454545454545 , 0.5625 , 1.2375 , 0.3375 , 0.9 , 0.1125 , 0 , 0 , 3.0375 , 0.5625 , 1.4625 , 0.1125 , 0.6471 , 0 , 0 , 0 , 0 , 0.5625 , 0.5556 , 0.1125 , 0 , 2.7 , 2.475 , 0.4068 , 4.725 , 1.9125 , 2.25 , 0.1125 , 0.1125 , 0.211656911891837 , 2.475 , 0.6818 , 24.6375 , 4.5 , 26.8875 , 0.1125 , 0.379243393079775 , 0.296643269343219 , 0.0455 , 0.125 , 0.5229 , 1 
"Talent" , "M" , "Ligue 1" , "France" , 40.3028 , 0.8014 , 0.6242 , 17.9768 , 0.7 , 11.6559 , 0.6069666667 , 1.56572164948454 , 0.473684210526316 , 2.72551546391753 , 0.61038961038961 , 0.753865979381443 , 2.1456 , 0.115979381443299 , 0.289948453608247 , 0.4 , 1.6237 , 1.7397 , 0.289948453608247 , 0.695876288659794 , 0.5219 , 0 , 0 , 3.0735 , 0.405927835051546 , 0.463917525773196 , 0.058 , 0.8571 , 0.2899 , 0.3333 , 0.6959 , 0.811855670103093 , 0.6959 , 0.3871 , 0.985824742268041 , 0.058 , 1.3338 , 0.405927835051546 , 0.5476 , 1.2758 , 0.4639 , 1.2178 , 0.058 , 0.116 , 0.0397131566172277 , 0.9278 , 0.4375 , 6.72680412371134 , 0.811855670103093 , 7.65463917525773 , 0.058 , 0.0555613099604848 , 1.04370632663074 , 0.0625 , 0 , 0.8212 , 1 
"Peak" , "CB" , "Ligue 1" , "France" , 32.9453 , 0.7931 , 0.7053 , 2.3983 , 0.5263 , 14.8948 , 0.5423779661 , 3.28190743338008 , 0.764705882352941 , 1.00981767180926 , 0.5 , 0.126227208976157 , 3.7868 , 0.126227208976157 , 0.378681626928471 , 0.333333333333333 , 0 , 2.0196 , 0 , 1.64095371669004 , 2.1459 , 0 , 1.00981767180926 , 3.0295 , 0.126227208976157 , 1.13604488078541 , 0.3787 , 0.6154 , 0.7574 , 0.4615 , 2.0196 , 0 , 0 , 0 , 0.126227208976157 , 0 , 0.1262 , 0 , 0.3333 , 0.1262 , 0 , 0.2525 , 0 , 0.1262 , 0.036387589505403 , 0 , 0.338527272727273 , 1.26227208976157 , 0.504908835904628 , 2.01963534361851 , 0 , 0 , 1.0212344635284 , 0.0916954545454545 , 0.281610344827586 , 0.632570454545455 , 0 
"Peak" , "CF" , "1.Bundesliga" , "Germany" , 24.9609 , 0.7127 , 0.5537 , 11.7422 , 0.6048 , 6.4688 , 0.4565173913 , 0.7734375 , 0.297297297297297 , 2.390625 , 0.566666666666667 , 0.9140625 , 0.7031 , 0.6328125 , 1.1953125 , 0.529411764705882 , 2.6016 , 0.3516 , 0.0703125 , 0.0703125 , 0.1406 , 0 , 0.0703125 , 2.6016 , 0.7734375 , 0.421875 , 0.0703 , 0.3846 , 0.0703 , 1 , 0.2813 , 0.2109375 , 1.1953 , 0.7727 , 0.140625 , 0.0703 , 1.3359 , 0.6328125 , 0.3654 , 1.4063 , 0.2813 , 1.125 , 0.1406 , 0.2109 , 0.13648438860931 , 2.3203 , 0.6061 , 7.875 , 1.828125 , 12.65625 , 0.4219 , 0.339561671092304 , 1.24241054251768 , 0.1818 , 0.7143 , 0.7485 , 1 
"Talent" , "FB" , "Eredivisie" , "Netherlands" , 48.7908 , 0.8596 , 0.7924 , 14.0625 , 0.8 , 16.9973 , 0.676242446 , 3.0570652173913 , 0.543478260869565 , 4.40217391304348 , 0.631578947368421 , 0.489130434782609 , 3.4239 , 0.489130434782609 , 0.611413043478261 , 0.8 , 0.1223 , 1.2228 , 0.244565217391304 , 0.611413043478261 , 2.2011 , 0.366847826086956 , 0.733695652173913 , 3.4239 , 0.244565217391304 , 2.5679347826087 , 0.1223 , 0.6667 , 0.856 , 0.5385 , 0.9783 , 0.122282608695652 , 0.2446 , 0.5 , 0 , 0 , 0.856 , 0.611413043478261 , 0.3333 , 4.769 , 0.3668 , 0.9783 , 0 , 0 , 0.0480313485494586 , 0.1223 , 0 , 16.9972826086957 , 0.366847826086956 , 13.5733695652174 , 0 , 0.0369063702870223 , 0 , 0 , 0 , 0.4089 , 1 
"Peak" , "CF" , "Serie A" , "Italy" , 19.6354 , 0.6849 , 0.5095 , 7.5852 , 0.617 , 5.4871 , 0.4999980392 , 1.12970711297071 , 0.567567567567568 , 0.753138075313807 , 0.466666666666667 , 0.376569037656904 , 0.3228 , 0.537955768081291 , 0.753138075313807 , 0.714285714285714 , 2.098 , 0.5918 , 0.0537955768081291 , 0 , 0.3228 , 0.0537955768081291 , 0 , 2.7974 , 0.322773460848775 , 0.161386730424387 , 0.1076 , 0.5238 , 0.0538 , 0.1667 , 0.0538 , 0 , 0.3228 , 0.1463 , 0.0537955768081291 , 0.269 , 0.5918 , 0.268977884040646 , 0.3235 , 0.6455 , 0 , 0.5918 , 0.1076 , 0.1076 , 0.0368762930971752 , 1.829 , 0.5 , 4.08846383741781 , 2.68977884040646 , 9.03765690376569 , 0.4304 , 0.480776373421909 , 0.895145099169345 , 0.2353 , 0.4286 , 0.8852 , 0 
